status,longitude,latitude,house_type,beds,baths,full_baths,price_reduced,new_construction,foreclosure,plans,new_listing,is_coming_soon,is_contingent,is_pending,price_reduced_amount,days_since_last_sold,days_since_list_date,last_sold_prices,list_prices
0,-121.952238,37.775305,single_family,3,3,3,0,0,0,0,1,0,0,0,,6,0,1460000,1499000
0,-121.950179,37.771819,townhomes,3,3,2,0,0,0,0,1,0,0,0,,2647,0,780000,1288000
0,-121.911629,37.766123,condos,3,3,2,0,0,0,0,1,0,0,0,,1,0,1100000,1150000
0,-121.925441,37.788304,townhomes,3,3,2,0,0,0,0,1,0,0,0,,110,0,1335000,1248888
0,-121.903417,37.767013,single_family,4,4,3,0,0,0,0,1,0,0,0,,205,0,2230000,1998000
0,-121.912103,37.732506,single_family,4,3,2,0,0,0,0,1,0,0,0,,14,0,1640000,1598000
0,-121.900404,37.754629,single_family,5,4,3,1,0,0,0,1,0,0,0,100001,6060,0,890000,1999999
0,-121.903072,37.75318,single_family,5,4,4,0,0,0,0,1,0,0,0,,30,0,2425000,2348000
0,-121.934927,37.781074,single_family,5,5,4,0,0,0,0,1,0,0,0,,15,0,3700000,3499900
0,-121.942097,37.768609,condos,2,2,1,0,0,0,0,1,0,1,0,,3137,0,395000,625000
0,-121.942255,37.768682,condos,1,1,1,0,0,0,0,1,0,0,0,,19,0,505000,499800
0,-121.893044,37.753255,single_family,4,3,2,0,0,0,0,1,0,0,1,,5636,0,815000,1788800
0,-121.922907,37.77687,townhomes,4,3,3,1,0,0,0,1,0,0,1,6000,90,0,1427000,1107000
0,-121.939924,37.764062,townhomes,4,3,3,1,0,0,0,1,0,0,1,178000,11388,0,330000,1200000
0,-121.929791,37.779891,single_family,4,3,3,0,0,0,0,1,0,0,0,,22,0,2400000,2400000
0,-121.908463,37.774084,single_family,3,3,2,0,0,0,0,1,0,0,0,,26,0,1860000,1875000
0,-121.903694,37.766024,single_family,4,3,2,0,0,0,0,1,0,0,0,,15,0,2200000,2139000
0,-121.943348,37.76907,condos,1,1,1,0,0,0,0,1,0,0,0,,40,0,515000,509950
0,-121.907364,37.764978,townhomes,3,3,2,0,0,0,0,1,0,0,1,,2505,0,690000,1050000
0,-121.927899,37.78505,townhomes,4,3,2,0,0,0,0,1,0,0,0,,13,0,1200000,1249800
0,-121.912394,37.765519,condos,3,3,2,0,0,0,0,1,0,0,0,,14,0,1110000,1199000
0,-121.94435,37.764812,single_family,5,3,3,0,0,0,0,1,0,0,0,,15,0,1998000,1998000
0,-121.93652,37.756951,single_family,4,3,2,0,0,0,0,1,0,0,0,,36,0,1800000,1899000
0,-121.936103,37.756368,single_family,4,3,2,1,0,0,0,1,0,0,0,100000,13,0,1800000,1800000
0,-121.910195,37.759714,single_family,4,4,3,0,0,0,0,1,0,0,0,,5,0,2225000,2199999
0,-121.915388,37.760087,townhomes,3,3,2,0,0,0,0,1,0,0,0,,12,0,950000,985000
0,-121.942943,37.782711,townhomes,2,3,2,1,0,0,0,1,0,0,0,25600,3346,0,614000,1049000
0,-121.949927,37.788037,single_family,4,2,2,0,0,0,0,1,0,0,0,,41,0,1760000,1798000
0,-121.915025,37.760139,condos,3,3,3,0,0,0,0,1,0,1,0,,4244,0,565000,1190000
0,-121.937867,37.77257,single_family,4,3,2,1,0,0,0,1,0,0,1,171000,2326,0,1270000,2098000
0,-121.913009,37.759147,single_family,3,3,2,1,0,0,0,1,0,0,0,81000,2,0,1400000,1459000
0,-121.946716,37.769725,condos,2,2,2,0,0,0,0,1,0,1,0,,3793,0,325000,749000
0,-121.925475,37.783678,townhomes,3,3,2,1,0,0,0,1,0,0,0,35001,15,0,1150000,1199999
0,-121.927032,37.787286,single_family,5,3,3,1,0,0,0,1,0,0,0,50000,7883,0,732000,1838888
0,-121.912317,37.765522,townhomes,3,3,2,0,0,0,0,1,0,0,1,,1891,0,836000,1195000
0,-121.921149,37.776896,townhomes,4,3,2,1,0,0,0,1,0,0,0,4000,96,0,1395500,1336000
0,-121.916531,37.774169,single_family,4,3,3,1,0,0,0,1,0,0,0,30000,1793,0,1280000,2170000
